Propriétés,Type,Description,Valeurs possibles,Valeur défaut
begin ,String ,Valeur de début du filtre temporel ,,Valeur **minDate** de la couche 
end ,String ,Valeur de fin du filtre temporel ,,Valeur **maxDate** de la couche 
step ,String ,Pas de temps défini selon la norme ISO-8601 ,Voir `wiki <https://fr.wikipedia.org/wiki/ISO_8601#Dur%C3%A9e>`__ ,60000 millisecondes
restrictedToStep ,Boolean,"| True si le filtre doit respecter le pas de temps depuis
| l'attribut **minDate**. 
| 
| Sinon le pas de temps est respecté selon l'attribut **begin**",True | False ,False 
calendarModeYearBoolean,,"| Lorsque true, l’interface présentera uniquement des 
| années et ajustera les requête aux service pour 
| que l’année de début et de fin soit incluse dans 
| le retour.",True | False ,False 
