Propriétés,Type,Description,Valeurs possibles,Valeur défaut
icon ,String ,Icône dans la barre d'outil ,`MDI <https://materialdesignicons.com/>`__ ,layers-plus 
**name*** ,String ,,catalog ,
title ,String ,"| Le titre affiché dans l'application. Sujet aux traduction.
| Si vous modifiez le titre par défaut, vous devez ajouter
| ce titre dans les langues supportées par IGO2 (fr-en).
|       - fichiers dans :ref:`Language <igolanguage>`. ",,igo.integration.tools.catalog 
options ,Object ,Voir les options ici-bas. ,,
